0,0,−1,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,−1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,−1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,−1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,−1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,−1,0
1,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
2,1,1,1,1,1,1,1,1,1,1,1,1,0
2,1,2,1,1,1,1,1,1,1,1,0,0,0
3,2,3,2,3,2,1,1,1,1,1,1,0,0
2,2,2,2,2,1,1,1,1,1,1,1,1,1
4,2,3,2,3,2,2,2,2,1,1,1,1,1
7,5,7,5,6,4,4,3,3,2,3,2,2,1
4,3,4,3,3,2,3,2,2,1,2,1,1,1
4,3,4,3,4,3,2,1,1,1,1,1,1,1
6,4,5,4,5,4,3,2,3,2,2,2,2,1
6,4,6,4,5,4,3,2,2,2,2,1,2,1
8,5,7,5,7,5,3,3,3,2,3,2,3,2
8,5,8,5,7,5,3,2,3,2,3,2,2,2
8,6,8,5,7,5,5,3,4,3,4,3,2,1
6,4,6,4,5,3,3,2,3,2,3,2,1,1
6,4,6,4,5,4,3,2,3,2,1,1,1,1
6,5,6,4,6,4,4,3,3,2,3,2,1,1
10,7,9,7,9,6,5,4,5,4,3,2,3,2
10,8,10,7,10,7,6,4,5,4,3,2,2,2
8,6,8,6,7,5,5,3,3,2,3,2,3,2
12,9,12,8,11,8,7,5,5,3,5,3,4,3
10,7,10,7,8,6,6,4,5,3,3,2,3,2
10,7,10,7,9,6,5,3,4,3,4,3,3,2
14,10,14,10,12,8,8,5,7,5,5,3,4,3
10,8,10,7,10,7,6,4,4,3,4,3,3,2
12,8,12,8,10,7,6,4,6,4,4,3,3,2
12,9,12,8,11,8,7,5,6,4,4,3,3,2
